Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
DAL KALAHARI,Deutsche Afrika Lines,SAECS,INBOUND,29/09/2019 08:00,29/09/2019 20:00,Rotterdam,Bremerhaven,28/09/2019 04:00,28/09/2019 19:00
GENOA,HAPAG LLOYD,AL2,INBOUND,30/09/2019 04:00,30/09/2019 17:00,Hamburg,Le Havre,30/09/2019 05:10,30/09/2019 12:57
MSC CLORINDA,MSC,AE7,INBOUND,01/10/2019 06:00,02/10/2019 06:00,Nansha,Piraeus,01/10/2019 11:32,02/10/2019 23:59
CMA CGM FORT DE FRANCE,CMA CGM,NEFWI,INBOUND,01/10/2019 18:00,02/10/2019 06:00,Moin,London Gateway Port,01/10/2019 18:16,02/10/2019 09:06
AEGIALI,HAPAG LLOYD,AL4,INBOUND,02/10/2019 06:00,02/10/2019 23:00,Tuxpan,Southampton,02/10/2019 11:53,03/10/2019 02:21
MSC ANTONIA,MSC,LEV,INBOUND,03/10/2019 07:00,03/10/2019 23:00,Gent (Ghent),Antwerp,03/10/2019 07:50,04/10/2019 04:00
ER FRANCE,MSC,WAF,INBOUND,03/10/2019 15:00,04/10/2019 03:00,Cotonou,Rotterdam,04/10/2019 05:00,04/10/2019 13:30
MSC ATLANTIC,MSC,BL11,INBOUND,03/10/2019 16:00,04/10/2019 04:00,Liverpool,Antwerp,03/10/2019 09:30,03/10/2019 15:15
BOMAR REGINA,CMA CGM,AD HOC,INBOUND,29/09/2019 13:00,30/09/2019 03:00,Santa Marta,Antwerp,29/09/2019 13:19,29/09/2019 23:04
MASTERY D,BG Freight,AD HOC,INBOUND,29/09/2019 16:00,30/09/2019 01:00,Santa Marta,Antwerp,29/09/2019 18:35,30/09/2019 02:12
CMA CGM FORT ST MARIE,CMA CGM,NBE,INBOUND,01/10/2019 04:00,01/10/2019 15:00,Fortaleza,Rotterdam,01/10/2019 21:22,02/10/2019 10:04
MSC PARIS,MSC,NWC,INBOUND,02/10/2019 10:00,02/10/2019 22:00,El Dekheila,Rotterdam,02/10/2019 17:38,03/10/2019 06:05
JSP MISTRAL,Unifeeder,AD HOC,INBOUND,02/10/2019 18:00,03/10/2019 04:00,Santa Marta,Antwerp,03/10/2019 01:13,03/10/2019 08:10
SM CHARLESTON,MSC,AUS,INBOUND,07/10/2019 14:00,08/10/2019 14:00,Damietta,Antwerp,07/10/2019 19:30,08/10/2019 18:10
SAFMARINE NOKWANDA,Maersk Line,CLX,INBOUND,07/10/2019 18:00,08/10/2019 10:00,TERMINAL CONTECAR,Rotterdam,07/10/2019 17:09,08/10/2019 04:13
CMA CGM FORT FLEUR DEPEE,CMA CGM,NEFWI,INBOUND,09/10/2019 18:00,10/10/2019 06:00,Moin,London Gateway Port,08/10/2019 19:52,09/10/2019 08:10
MSC MANDY,MSC,BL11,INBOUND,10/10/2019 14:00,11/10/2019 04:00,Liverpool,Antwerp,09/10/2019 05:42,09/10/2019 11:00
NORDSERENA,CMA CGM,CES,INBOUND,13/10/2019 06:00,13/10/2019 21:00,Moin,Vlissingen,13/10/2019 12:27,14/10/2019 02:05
MONACO,MSC,WAF,INBOUND,10/10/2019 09:01,10/10/2019 18:00,Cotonou,Rotterdam,10/10/2019 09:23,10/10/2019 18:00
MSC APOLLO,MSC,NWC,INBOUND,11/10/2019 12:00,12/10/2019 10:00,El Dekheila,Rotterdam,12/10/2019 00:10,12/10/2019 14:11
CHACABUCO,HAPAG LLOYD,AL2,INBOUND,12/10/2019 21:00,13/10/2019 19:00,Hamburg,Le Havre,15/10/2019 09:15,16/10/2019 04:22
EVRIDIKI G,HAPAG LLOYD,CES,INBOUND,13/10/2019 06:00,13/10/2019 20:00,Moin,Vlissingen,15/10/2019 01:01,15/10/2019 07:45
YM EXPRESS,Yang Ming Line,AL1,INBOUND,18/10/2019 04:00,18/10/2019 18:00,Savannah,Antwerp,18/10/2019 06:40,18/10/2019 16:51
MOL PRESENCE,Ocean Network Express,SAECS,INBOUND,14/10/2019 11:00,14/10/2019 23:00,Rotterdam,Bremerhaven,14/10/2019 12:15,14/10/2019 23:25
MSC DARDANELLES,MSC,NWC,INBOUND,14/10/2019 22:00,15/10/2019 10:00,El Dekheila,Rotterdam,15/10/2019 03:22,15/10/2019 13:05
WES JANINE,Ocean Network Express,IB1,INBOUND,18/10/2019 22:00,19/10/2019 06:00,Antwerp,Leixoes,19/10/2019 07:10,19/10/2019 14:10
MSC NEDERLAND,MSC,BL11,INBOUND,16/10/2019 23:59,17/10/2019 09:00,Liverpool,Antwerp,17/10/2019 00:30,17/10/2019 09:03
ST LOUIS EXPRESS,HAPAG LLOYD,AL3,INBOUND,17/10/2019 02:00,17/10/2019 12:00,Norfolk,Bremerhaven,17/10/2019 02:10,17/10/2019 13:30
BERLIN BRIDGE,Ocean Network Express,AL2,INBOUND,17/10/2019 03:00,17/10/2019 16:00,Hamburg,Le Havre,17/10/2019 03:46,17/10/2019 16:05
MSC PAMELA,MSC,AUS,INBOUND,17/10/2019 10:00,17/10/2019 22:00,Damietta,Antwerp,17/10/2019 10:40,17/10/2019 21:50
CMA CGM JEAN GABRIEL,CMA CGM,SAWC,INBOUND,17/10/2019 15:00,18/10/2019 09:00,Posorja,Hamburg,17/10/2019 18:35,18/10/2019 10:45
MSC MARGARITA,MSC,WAF,INBOUND,17/10/2019 19:00,18/10/2019 08:00,Cotonou,Rotterdam,17/10/2019 20:15,18/10/2019 04:55
NORTHERN JADE,MSC,LEV,INBOUND,17/10/2019 23:00,19/10/2019 06:00,Gent (Ghent),Antwerp,18/10/2019 00:55,19/10/2019 06:20
HSL NIKE,CMA CGM,NBE,INBOUND,18/10/2019 13:00,18/10/2019 20:00,Fortaleza,Rotterdam,20/10/2019 08:48,20/10/2019 12:43
SANTA ISABEL,Maersk Line,SAECS,INBOUND,18/10/2019 13:00,19/10/2019 13:00,Rotterdam,Bremerhaven,18/10/2019 20:41,19/10/2019 05:01
BOMAR CALAIS,CMA CGM,NBE,INBOUND,23/10/2019 11:00,23/10/2019 22:00,Fortaleza,Rotterdam,23/10/2019 12:07,23/10/2019 21:55
NORDPACIFIC,CMA CGM,PAD,INBOUND,25/10/2019 19:00,26/10/2019 04:00,Antwerp,Savannah,27/10/2019 20:15,28/10/2019 02:10
MSC FLORENTINA,MSC,NWC,INBOUND,28/10/2019 09:00,28/10/2019 22:00,El Dekheila,Rotterdam,31/10/2019 15:55,01/11/2019 11:07
MSC SARAH,MSC,AEGEAN,INBOUND,30/10/2019 06:00,31/10/2019 06:00,Gent (Ghent),Rotterdam,30/10/2019 22:07,31/10/2019 12:04
APL PHOENIX,CMA CGM,AUS,INBOUND,30/10/2019 12:00,31/10/2019 06:00,Damietta,Antwerp,30/10/2019 07:00,31/10/2019 02:26
CONMAR AVENUE,CMA CGM,EUM,INBOUND,29/10/2019 18:00,30/10/2019 04:00,Agadir,Dunkerque,30/10/2019 00:10,30/10/2019 03:58
MSC ATLANTIC,MSC,BL11,INBOUND,31/10/2019 20:00,01/11/2019 06:00,Liverpool,Antwerp,30/10/2019 09:30,30/10/2019 20:10
