Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
SANTA ROSA,Maersk Line,SAECS,INBOUND,27/12/2019 23:59,28/12/2019 16:00,Rotterdam,Bremerhaven,27/12/2019 17:58,28/12/2019 10:15
MARFRET GUYANE,Marfret,NEFGUI,INBOUND,28/12/2019 06:00,28/12/2019 15:00,Le Havre,Rotterdam,28/12/2019 12:32,28/12/2019 23:15
APL LE HAVRE,CMA CGM,EPIC,INBOUND,28/12/2019 12:00,29/12/2019 05:00,Le Havre,Hamburg,29/12/2019 01:00,29/12/2019 10:03
ONE MINATO,Ocean Network Express,FE3,INBOUND,28/12/2019 20:00,29/12/2019 17:00,Antwerp,Piraeus,29/12/2019 04:52,30/12/2019 14:10
BANAK,STREAMLINES,CES,INBOUND,29/12/2019 06:00,29/12/2019 21:00,Moin,Vlissingen,29/12/2019 11:30,29/12/2019 21:19
MSC MANDY,MSC,BL11,INBOUND,29/12/2019 18:00,30/12/2019 06:00,Liverpool,Antwerp,30/12/2019 16:35,30/12/2019 22:10
ANTON SCHULTE,HAPAG LLOYD,AL2,INBOUND,30/12/2019 04:00,30/12/2019 22:00,Hamburg,Le Havre,30/12/2019 09:35,31/12/2019 01:08
NAVIOS DORADO,HAPAG LLOYD,AD HOC,INBOUND,24/12/2019 17:00,27/12/2019 04:00,Santa Marta,Antwerp,24/12/2019 17:46,27/12/2019 05:45
WES JANINE,Ocean Network Express,IB1,INBOUND,27/12/2019 10:00,27/12/2019 22:00,Antwerp,Leixoes,27/12/2019 10:24,27/12/2019 16:00
MSC FLORENTINA,MSC,NWC,INBOUND,27/12/2019 14:00,28/12/2019 22:00,El Dekheila,Rotterdam,29/12/2019 14:17,30/12/2019 08:00
PHILADELPHIA EXPRESS,HAPAG LLOYD,AL3,INBOUND,31/12/2019 06:00,31/12/2019 17:00,Norfolk,Bremerhaven,31/12/2019 08:47,01/01/2020 13:33
MOL GLIDE,Ocean Network Express,AL4,INBOUND,01/01/2020 06:00,01/01/2020 23:00,Tuxpan,Southampton,01/01/2020 14:59,02/01/2020 06:11
MSC INGRID,MSC,AEGEAN,INBOUND,01/01/2020 07:00,02/01/2020 07:00,Gent (Ghent),Rotterdam,03/01/2020 12:00,03/01/2020 22:11
MSC INES,MSC,AUS,INBOUND,01/01/2020 12:00,02/01/2020 04:00,Damietta,Antwerp,02/01/2020 13:10,03/01/2020 03:00
SANTOS EXPRESS,HAPAG LLOYD,SAWC,INBOUND,02/01/2020 05:00,03/01/2020 02:00,Posorja,Hamburg,03/01/2020 15:48,04/01/2020 09:06
MSC KATYAYNI,MSC,WAF,INBOUND,02/01/2020 16:00,03/01/2020 04:00,Cotonou,Rotterdam,04/01/2020 06:52,04/01/2020 22:25
SANTA URSULA,Maersk Line,SAECS,INBOUND,02/01/2020 23:59,03/01/2020 16:00,Rotterdam,Bremerhaven,03/01/2020 00:48,03/01/2020 12:18
BUDAPEST BRIDGE,Ocean Network Express,AL1,INBOUND,03/01/2020 04:00,03/01/2020 18:00,Savannah,Antwerp,05/01/2020 16:20,06/01/2020 02:02
CAP SAN ANTONIO,Maersk Line,SAEC1,INBOUND,03/01/2020 06:00,03/01/2020 23:00,Gent (Ghent),Hamburg,02/01/2020 20:06,03/01/2020 08:10
MSC SOFIA CELESTE,MSC,SAEC2,INBOUND,03/01/2020 14:00,04/01/2020 02:00,Bremerhaven,Hamburg,04/01/2020 15:10,05/01/2020 07:10
BALAO,HAPAG LLOYD,CES,INBOUND,05/01/2020 06:00,05/01/2020 21:00,Moin,Vlissingen,05/01/2020 06:28,05/01/2020 13:54
NORDIC LUEBECK,CMA CGM,EUM,INBOUND,31/12/2019 06:15,31/12/2019 16:00,Agadir,Dunkerque,31/12/2019 06:45,31/12/2019 15:34
VAYENGA MAERSK,Maersk Line,AE7,INBOUND,31/12/2019 15:00,01/01/2020 11:00,Nansha,Piraeus,31/12/2019 14:57,01/01/2020 18:05
CMA CGM TANGER,CMA CGM,EUM,INBOUND,01/01/2020 12:00,01/01/2020 22:00,Agadir,Dunkerque,01/01/2020 13:27,02/01/2020 00:55
PERSEUS,Ocean Network Express,IB1,INBOUND,02/01/2020 10:00,02/01/2020 22:00,Antwerp,Leixoes,03/01/2020 04:32,03/01/2020 13:40
YM ENLIGHTENMENT,Yang Ming Line,AL1,INBOUND,04/01/2020 12:00,04/01/2020 20:00,Savannah,Antwerp,04/01/2020 12:38,04/01/2020 19:56
LAURA MAERSK,Maersk Line,CLX,INBOUND,06/01/2020 18:01,07/01/2020 10:00,TERMINAL CONTECAR,Rotterdam,06/01/2020 18:05,07/01/2020 06:25
ST LOUIS EXPRESS,HAPAG LLOYD,AL3,INBOUND,07/01/2020 06:00,07/01/2020 17:00,Norfolk,Bremerhaven,09/01/2020 03:40,09/01/2020 16:01
CMA CGM FORT ST CHARLES,CMA CGM,NEFWI,INBOUND,07/01/2020 18:00,08/01/2020 06:00,Moin,London Gateway Port,07/01/2020 19:02,08/01/2020 09:31
MAASHOLM,CMA CGM,EUM,INBOUND,08/01/2020 05:00,08/01/2020 15:00,Agadir,Dunkerque,08/01/2020 20:50,09/01/2020 10:06
AEGIALI,HAPAG LLOYD,AL4,INBOUND,08/01/2020 06:00,08/01/2020 23:00,Tuxpan,Southampton,08/01/2020 05:24,08/01/2020 18:20
SEAMAX GREENWICH,MSC,AUS,INBOUND,08/01/2020 12:00,09/01/2020 04:00,Damietta,Antwerp,08/01/2020 14:44,09/01/2020 06:57
CMA CGM TANYA,CMA CGM,SAWC,INBOUND,09/01/2020 06:00,10/01/2020 02:00,Posorja,Hamburg,09/01/2020 09:55,10/01/2020 04:30
WES JANINE,Ocean Network Express,IB1,INBOUND,09/01/2020 23:59,10/01/2020 06:00,Antwerp,Leixoes,09/01/2020 19:58,10/01/2020 09:05
DAL KALAHARI,Deutsche Afrika Lines,SAECS,INBOUND,09/01/2020 23:59,10/01/2020 16:00,Rotterdam,Bremerhaven,10/01/2020 02:45,10/01/2020 18:16
UASC UMM QASR,HAPAG LLOYD,SAEC2,INBOUND,10/01/2020 14:00,11/01/2020 02:00,Bremerhaven,Hamburg,10/01/2020 18:39,11/01/2020 09:17
MOL GUARDIAN,Ocean Network Express,IEX,INBOUND,12/01/2020 18:00,13/01/2020 10:00,Rotterdam,London Gateway Port,13/01/2020 15:12,14/01/2020 10:03
LICA MAERSK,Maersk Line,CLX,INBOUND,13/01/2020 18:00,14/01/2020 10:00,TERMINAL CONTECAR,Rotterdam,14/01/2020 04:00,15/01/2020 04:25
RIO GRANDE EXPRESS,HAPAG LLOYD,AL3,INBOUND,14/01/2020 06:00,14/01/2020 17:00,Norfolk,Bremerhaven,14/01/2020 04:53,15/01/2020 14:40
DOMINGO,CMA CGM,NEFWI,INBOUND,14/01/2020 18:00,15/01/2020 06:00,Moin,London Gateway Port,14/01/2020 16:45,15/01/2020 15:40
MSC LISA,MSC,AEGEAN,INBOUND,15/01/2020 09:00,15/01/2020 23:00,Gent (Ghent),Rotterdam,15/01/2020 17:22,16/01/2020 03:59
BENEDIKT,CMA CGM,EUM,INBOUND,16/01/2020 11:00,16/01/2020 21:00,Agadir,Dunkerque,19/01/2020 03:41,19/01/2020 09:15
LEXA MAERSK,Maersk Line,CLX,INBOUND,20/01/2020 18:00,21/01/2020 10:00,Guayaquil,Rotterdam,21/01/2020 05:52,21/01/2020 18:14
DINA TRADER,CMA CGM,EUM,INBOUND,17/01/2020 04:00,17/01/2020 10:00,Agadir,Dunkerque,17/01/2020 04:30,17/01/2020 10:12
MOL PROFICIENCY,Ocean Network Express,SAECS,INBOUND,17/01/2020 23:00,18/01/2020 14:00,Rotterdam,Bremerhaven,17/01/2020 23:30,18/01/2020 13:03
YM ENLIGHTENMENT,Yang Ming Line,AL1,INBOUND,24/01/2020 04:00,24/01/2020 18:00,Savannah,Antwerp,24/01/2020 04:50,24/01/2020 17:30
CAP SAN NICOLAS,Maersk Line,SAEC1,INBOUND,24/01/2020 06:00,24/01/2020 23:00,Gent (Ghent),Hamburg,24/01/2020 21:05,25/01/2020 10:50
HUNGARY,HAPAG LLOYD,SAEC2,INBOUND,24/01/2020 18:00,25/01/2020 06:00,Bremerhaven,Hamburg,24/01/2020 19:16,25/01/2020 07:00
ATHENIAN,HAPAG LLOYD,EPIC,INBOUND,25/01/2020 12:00,26/01/2020 05:30,Le Havre,Hamburg,25/01/2020 15:53,26/01/2020 07:07
YM WELLSPRING,Ocean Network Express,FE3,INBOUND,25/01/2020 20:00,26/01/2020 17:00,Antwerp,Piraeus,25/01/2020 18:21,26/01/2020 23:59
SM CHARLESTON,MSC,EPIC1,INBOUND,26/01/2020 16:00,27/01/2020 16:00,Mundra,Rotterdam,27/01/2020 02:05,28/01/2020 01:16
MSC MANDY,MSC,BL11,INBOUND,26/01/2020 18:00,27/01/2020 06:00,Liverpool,Antwerp,27/01/2020 14:47,27/01/2020 21:30
AL RAWDAH,HAPAG LLOYD,IEX,INBOUND,26/01/2020 18:00,27/01/2020 10:00,Rotterdam,London Gateway Port,27/01/2020 04:36,27/01/2020 19:34
EVRIDIKI G,HAPAG LLOYD,CES,INBOUND,23/01/2020 04:00,23/01/2020 20:00,Caucedo,Vlissingen,23/01/2020 15:00,23/01/2020 22:16
HSL NIKE,HAPAG LLOYD,CES,INBOUND,26/01/2020 06:00,26/01/2020 15:00,Caucedo,Vlissingen,26/01/2020 10:50,26/01/2020 18:25
MSC CHLOE,MSC,NWC,INBOUND,27/01/2020 03:00,27/01/2020 23:00,El Dekheila,Rotterdam,27/01/2020 03:13,27/01/2020 09:22
COSCO SHIPPING DANUBE,China Ocean Steamship Company,SAWC,INBOUND,30/01/2020 05:00,31/01/2020 02:00,Posorja,Hamburg,30/01/2020 07:17,30/01/2020 19:47
MSC MARGARITA,MSC,WAF,INBOUND,30/01/2020 16:00,31/01/2020 04:00,Cotonou,Rotterdam,31/01/2020 13:10,01/02/2020 03:26
MOL PRESENCE,Ocean Network Express,SAECS,INBOUND,30/01/2020 23:59,31/01/2020 16:00,Rotterdam,Bremerhaven,31/01/2020 01:25,31/01/2020 11:45
YM EXPRESS,Yang Ming Line,AL1,INBOUND,31/01/2020 04:00,31/01/2020 18:00,Savannah,Antwerp,31/01/2020 04:37,01/02/2020 00:58
CAP SAN MALEAS,Maersk Line,SAEC1,INBOUND,31/01/2020 06:00,31/01/2020 23:00,Gent (Ghent),Hamburg,31/01/2020 07:03,31/01/2020 22:59
WES JANINE,Ocean Network Express,IB1,INBOUND,31/01/2020 22:00,01/02/2020 06:00,Antwerp,Leixoes,01/02/2020 00:47,01/02/2020 06:01
CMA CGM MUMBAI,CMA CGM,EPIC,INBOUND,01/02/2020 12:00,02/02/2020 05:30,Le Havre,Hamburg,01/02/2020 09:14,02/02/2020 06:54
YM WITNESS,Yang Ming Line,FE3,INBOUND,01/02/2020 20:00,02/02/2020 17:00,Antwerp,Piraeus,01/02/2020 17:40,03/02/2020 03:34
MSC DESIREE,MSC,EPIC1,INBOUND,02/02/2020 16:00,03/02/2020 16:00,Mundra,Rotterdam,02/02/2020 12:56,03/02/2020 07:40
NORDVIOLET,STREAMLINES,CES,INBOUND,29/01/2020 08:00,29/01/2020 21:00,Caucedo,Vlissingen,29/01/2020 09:02,29/01/2020 21:35
MSC SAVANNAH,MSC,NWC,INBOUND,30/01/2020 06:00,30/01/2020 17:00,El Dekheila,Rotterdam,30/01/2020 12:17,30/01/2020 23:11
ARIES J,CMA CGM,EUM,INBOUND,30/01/2020 23:59,31/01/2020 10:00,Agadir,Dunkerque,01/02/2020 04:26,01/02/2020 12:36
SAFMARINE NOKWANDA,Maersk Line,CLX,INBOUND,31/01/2020 21:00,01/02/2020 12:00,Guayaquil,Rotterdam,01/02/2020 15:23,02/02/2020 18:00
JPO SCORPIUS,HAPAG LLOYD,CES,INBOUND,02/02/2020 22:00,03/02/2020 04:00,Caucedo,Vlissingen,04/02/2020 10:23,04/02/2020 17:00
CONMAR AVENUE,CMA CGM,EUM,INBOUND,04/02/2020 05:00,04/02/2020 15:00,Agadir,Dunkerque,06/02/2020 02:15,06/02/2020 05:42
GENOA,HAPAG LLOYD,AL4,INBOUND,05/02/2020 06:00,05/02/2020 23:00,Tuxpan,Southampton,07/02/2020 04:26,07/02/2020 20:15
MSC INGRID,MSC,AEGEAN,INBOUND,05/02/2020 07:00,06/02/2020 07:00,Gent (Ghent),Rotterdam,06/02/2020 08:55,06/02/2020 20:18
CARTAGENA EXPRESS,HAPAG LLOYD,SAWC,INBOUND,06/02/2020 05:00,07/02/2020 02:00,Posorja,Hamburg,07/02/2020 03:20,07/02/2020 22:10
MSC KATYAYNI,MSC,WAF,INBOUND,06/02/2020 16:00,07/02/2020 04:00,Cotonou,Rotterdam,08/02/2020 00:19,08/02/2020 08:27
SANTA CLARA,Maersk Line,SAECS,INBOUND,06/02/2020 23:59,07/02/2020 16:00,Rotterdam,Bremerhaven,08/02/2020 05:00,08/02/2020 19:10
BUDAPEST BRIDGE,Ocean Network Express,AL1,INBOUND,07/02/2020 04:00,07/02/2020 18:00,Savannah,Antwerp,07/02/2020 08:45,08/02/2020 01:36
CAP SAN RAPHAEL,Maersk Line,SAEC1,INBOUND,07/02/2020 06:00,07/02/2020 23:00,Gent (Ghent),Hamburg,06/02/2020 07:13,06/02/2020 19:25
MSC INES,MSC,LEV,INBOUND,07/02/2020 07:00,07/02/2020 23:00,Gent (Ghent),Antwerp,06/02/2020 11:52,07/02/2020 07:05
CMA CGM BRAZIL,CMA CGM,NEFGUI,INBOUND,04/02/2020 05:00,04/02/2020 14:00,Le Havre,Rotterdam,04/02/2020 05:44,04/02/2020 14:00
BANAK,HAPAG LLOYD,CES,INBOUND,05/02/2020 08:00,05/02/2020 23:00,Caucedo,Vlissingen,05/02/2020 10:39,06/02/2020 04:50
SAFMARINE NOMAZWE,Maersk Line,CLX,INBOUND,06/02/2020 20:00,07/02/2020 12:00,Guayaquil,Rotterdam,08/02/2020 03:41,08/02/2020 20:03
POLAR ECUADOR,Maersk Line,CLX,INBOUND,10/02/2020 18:00,11/02/2020 10:00,Guayaquil,Rotterdam,11/02/2020 05:04,12/02/2020 03:23
PHILADELPHIA EXPRESS,HAPAG LLOYD,AL3,INBOUND,11/02/2020 06:00,11/02/2020 17:00,Norfolk,Bremerhaven,12/02/2020 17:48,13/02/2020 05:10
CMA CGM FORT FLEUR DEPEE,CMA CGM,NEFWI,INBOUND,11/02/2020 18:00,12/02/2020 06:00,Moin,London Gateway Port,13/02/2020 14:38,14/02/2020 02:26
MOL GRATITUDE,Ocean Network Express,AL4,INBOUND,12/02/2020 06:00,12/02/2020 23:00,Tuxpan,Southampton,13/02/2020 18:33,14/02/2020 07:05
MSC RACHELE,MSC,AUS,INBOUND,12/02/2020 07:00,12/02/2020 23:00,Damietta,Antwerp,14/02/2020 20:38,15/02/2020 08:02
NORDMAPLE,Marfret,PAD,INBOUND,12/02/2020 23:59,13/02/2020 11:00,Antwerp,Savannah,12/02/2020 05:00,12/02/2020 15:26
SEASPAN OCEANIA,MSC,LEV,INBOUND,13/02/2020 07:00,13/02/2020 23:00,Gent (Ghent),Antwerp,14/02/2020 22:28,15/02/2020 15:40
YM EVOLUTION,Yang Ming Line,AL1,INBOUND,14/02/2020 04:00,14/02/2020 18:00,Savannah,Antwerp,14/02/2020 08:56,14/02/2020 19:00
CAP SAN AUGUSTIN,Maersk Line,SAEC1,INBOUND,14/02/2020 06:00,14/02/2020 23:00,Gent (Ghent),Hamburg,14/02/2020 05:00,14/02/2020 21:30
MSC MAUREEN,MSC,NWC,INBOUND,12/02/2020 21:00,13/02/2020 11:00,El Dekheila,Rotterdam,14/02/2020 01:52,14/02/2020 17:09
AL BAHIA,HAPAG LLOYD,AL2,INBOUND,17/02/2020 04:00,17/02/2020 22:00,Hamburg,Le Havre,17/02/2020 15:26,18/02/2020 06:32
POLAR MEXICO,Maersk Line,CLX,INBOUND,17/02/2020 18:00,18/02/2020 10:00,Guayaquil,Rotterdam,18/02/2020 13:04,19/02/2020 12:00
ST LOUIS EXPRESS,HAPAG LLOYD,AL3,INBOUND,18/02/2020 06:00,18/02/2020 17:00,Norfolk,Bremerhaven,18/02/2020 10:25,18/02/2020 21:55
EBBA MAERSK,Maersk Line,AE7,INBOUND,18/02/2020 06:00,19/02/2020 06:00,Nansha,Piraeus,18/02/2020 08:40,19/02/2020 06:37
VALPARAISO EXPRESS,HAPAG LLOYD,SAWC,INBOUND,19/02/2020 01:00,19/02/2020 23:00,Posorja,Hamburg,19/02/2020 10:58,20/02/2020 08:32
ANNA G,Unifeeder,UNEC,INBOUND,19/02/2020 04:00,19/02/2020 15:00,Grangemouth,Antwerp,21/02/2020 21:53,22/02/2020 09:32
XIN YAN TAI,China Ocean Steamship Company,IEX,INBOUND,23/02/2020 18:00,24/02/2020 10:00,Rotterdam,London Gateway Port,23/02/2020 08:34,24/02/2020 08:58
POLAR PERU,Maersk Line,CLX,INBOUND,24/02/2020 18:00,25/02/2020 10:00,Guayaquil,Rotterdam,24/02/2020 22:30,25/02/2020 11:34
RIO GRANDE EXPRESS,HAPAG LLOYD,AL3,INBOUND,25/02/2020 06:00,25/02/2020 17:00,Norfolk,Bremerhaven,25/02/2020 04:42,25/02/2020 19:20
MSC NEDERLAND,MSC,WAF,INBOUND,21/02/2020 19:30,22/02/2020 06:00,Cotonou,Rotterdam,21/02/2020 20:47,22/02/2020 07:32
NORDIC LUEBECK,CMA CGM,EUM,INBOUND,22/02/2020 20:00,23/02/2020 03:00,Agadir,Dunkerque,22/02/2020 22:57,23/02/2020 04:14
PERSEUS,Ocean Network Express,IB1,INBOUND,22/02/2020 21:00,23/02/2020 04:00,Rotterdam World Gateway Terminal,Leixoes,22/02/2020 23:25,23/02/2020 10:55
MSC MONICA,MSC,BL11,INBOUND,25/02/2020 02:00,25/02/2020 16:00,Liverpool,Antwerp,25/02/2020 22:45,26/02/2020 06:58
DAL KALAHARI,Deutsche Afrika Lines,SAECS,INBOUND,28/02/2020 06:00,28/02/2020 22:00,Rotterdam,Bremerhaven,28/02/2020 06:46,28/02/2020 18:31
CMA CGM TANGER,CMA CGM,EUM,INBOUND,01/03/2020 09:00,01/03/2020 19:00,Agadir,Dunkerque,29/02/2020 17:35,01/03/2020 05:59
POLAR COSTA RICA,Maersk Line,CLX,INBOUND,02/03/2020 18:00,03/03/2020 10:00,Guayaquil,Rotterdam,01/03/2020 00:02,01/03/2020 17:05
WES JANINE,Ocean Network Express,IB1,INBOUND,02/03/2020 10:00,02/03/2020 18:00,Rotterdam World Gateway Terminal,Leixoes,01/03/2020 08:35,01/03/2020 19:02
MSC ALTAMIRA,MSC,NWC,INBOUND,02/03/2020 18:00,03/03/2020 11:00,El Dekheila,Rotterdam,04/03/2020 16:45,05/03/2020 12:07
CAP SAN ARTEMISSIO,Maersk Line,SAEC1,INBOUND,06/03/2020 06:00,06/03/2020 23:00,Gent (Ghent),Hamburg,05/03/2020 20:28,06/03/2020 12:31
NAVIOS UNISON,HAPAG LLOYD,EPIC,INBOUND,02/03/2020 19:00,03/03/2020 08:00,Le Havre,Hamburg,02/03/2020 19:30,03/03/2020 08:25
MATZ MAERSK,Maersk Line,AE7,INBOUND,04/03/2020 03:45,05/03/2020 06:00,Nansha,Piraeus,04/03/2020 05:36,05/03/2020 05:27
ER SEOUL,HAPAG LLOYD,AL4,INBOUND,04/03/2020 06:00,04/03/2020 23:00,Tuxpan,Southampton,05/03/2020 07:32,05/03/2020 17:25
YM WONDERLAND,Yang Ming Line,FE3,INBOUND,04/03/2020 18:00,05/03/2020 19:00,Antwerp,Piraeus,04/03/2020 21:20,06/03/2020 06:32
ER TOKYO,MSC,AUS,INBOUND,07/03/2020 04:00,07/03/2020 22:00,Damietta,Antwerp,07/03/2020 06:19,08/03/2020 10:30
CONMAR AVENUE,CMA CGM,EUM,INBOUND,07/03/2020 08:30,07/03/2020 16:00,Agadir,Dunkerque,07/03/2020 09:35,07/03/2020 15:55
ANNA G,Unifeeder,UNEC,INBOUND,08/03/2020 01:00,08/03/2020 14:00,Grangemouth,Antwerp,08/03/2020 01:17,08/03/2020 14:30
MSC SOFIA CELESTE,MSC,SAEC2,INBOUND,10/03/2020 16:00,11/03/2020 12:00,Bremerhaven,Hamburg,10/03/2020 13:15,11/03/2020 06:20
CMA CGM SAINT LAURENT,CMA CGM,NEFGUI,INBOUND,10/03/2020 18:00,11/03/2020 06:00,Le Havre,Rotterdam,12/03/2020 13:43,13/03/2020 04:05
APL MEXICO CITY,CMA CGM,AUS,INBOUND,11/03/2020 12:00,12/03/2020 04:00,Damietta,Antwerp,11/03/2020 14:42,12/03/2020 01:29
PALENA,HAPAG LLOYD,AL2,INBOUND,16/03/2020 04:00,16/03/2020 22:00,Hamburg,Le Havre,16/03/2020 07:32,16/03/2020 21:00
MSC MANDY,MSC,BL11,INBOUND,16/03/2020 07:00,16/03/2020 17:00,Liverpool,Antwerp,16/03/2020 11:30,16/03/2020 17:20
CHARLESTON EXPRESS,HAPAG LLOYD,AL3,INBOUND,11/03/2020 16:00,12/03/2020 06:00,Norfolk,Bremerhaven,11/03/2020 16:45,12/03/2020 09:18
ARICA,HAPAG LLOYD,CES,INBOUND,14/03/2020 10:00,14/03/2020 23:59,Caucedo,Vlissingen,14/03/2020 20:20,15/03/2020 10:05
MSC TIANJIN,MSC,NWC,INBOUND,14/03/2020 12:00,15/03/2020 11:00,El Dekheila,Rotterdam,14/03/2020 23:01,15/03/2020 06:12
ANNA G,Unifeeder,UNEC,INBOUND,15/03/2020 04:00,15/03/2020 15:00,Grangemouth,Antwerp,15/03/2020 09:58,15/03/2020 15:30
YM EVOLUTION,Yang Ming Line,AL1,INBOUND,20/03/2020 04:00,20/03/2020 18:00,Savannah,Antwerp,20/03/2020 05:05,20/03/2020 19:00
CAP SAN NICOLAS,Maersk Line,SAEC1,INBOUND,20/03/2020 06:00,20/03/2020 23:00,Gent (Ghent),Hamburg,20/03/2020 13:30,21/03/2020 06:15
MSC BRANKA,MSC,SAEC2,INBOUND,20/03/2020 14:00,21/03/2020 02:00,Bremerhaven,Hamburg,20/03/2020 23:10,21/03/2020 21:05
MARFRET GUYANE,Marfret,NEFGUI,INBOUND,21/03/2020 04:00,21/03/2020 15:00,Le Havre,Rotterdam,21/03/2020 08:52,21/03/2020 18:05
MSC MONICA,MSC,BL11,INBOUND,24/03/2020 02:00,24/03/2020 14:00,Liverpool,Antwerp,12/03/2020 12:54,12/03/2020 18:19
MADRID EXPRESS,HAPAG LLOYD,FE3,INBOUND,17/03/2020 16:45,18/03/2020 15:00,Antwerp,Piraeus,17/03/2020 17:32,18/03/2020 17:20
MOL GUARDIAN,Ocean Network Express,IEX,INBOUND,18/03/2020 08:00,18/03/2020 23:00,Rotterdam,London Gateway Port,18/03/2020 12:00,19/03/2020 04:39
ANNA G,Unifeeder,UNEC,INBOUND,18/03/2020 16:00,18/03/2020 23:00,Grangemouth,Antwerp,18/03/2020 19:25,19/03/2020 06:55
ARIES J,CMA CGM,EUM,INBOUND,19/03/2020 21:00,20/03/2020 07:00,Agadir,Dunkerque,21/03/2020 11:06,21/03/2020 16:15
CATHERINE C,MSC,NWC,INBOUND,20/03/2020 10:00,20/03/2020 22:00,El Dekheila,Rotterdam,22/03/2020 08:55,22/03/2020 21:10
GENOA,HAPAG LLOYD,AL4,INBOUND,25/03/2020 06:00,25/03/2020 23:00,Tuxpan,Southampton,25/03/2020 23:44,26/03/2020 22:55
BERNADETTE,MSC,AEGEAN,INBOUND,25/03/2020 07:00,26/03/2020 07:00,Canakkale,Rotterdam,25/03/2020 09:52,26/03/2020 04:36
CONTI MAKALU,MSC,AUS,INBOUND,25/03/2020 12:00,26/03/2020 04:00,Damietta,Antwerp,26/03/2020 14:31,27/03/2020 15:50
SEATRADE ORANGE,CMA CGM,PAD,INBOUND,25/03/2020 23:59,26/03/2020 11:00,Antwerp,Savannah,27/03/2020 21:55,28/03/2020 08:15
CMA CGM NIAGARA,CMA CGM,SAWC,INBOUND,26/03/2020 05:00,27/03/2020 02:00,Posorja,Hamburg,26/03/2020 06:45,27/03/2020 02:03
MSC ORIANE,MSC,WAF,INBOUND,26/03/2020 16:00,27/03/2020 04:00,Cotonou,Rotterdam,27/03/2020 11:35,27/03/2020 23:05
YM ESSENCE,Yang Ming Line,AL1,INBOUND,27/03/2020 04:00,27/03/2020 18:00,Savannah,Antwerp,27/03/2020 03:31,27/03/2020 20:27
SANTA BARBARA,Maersk Line,SAECS,INBOUND,23/03/2020 13:00,24/03/2020 10:00,Rotterdam,Bremerhaven,23/03/2020 14:05,24/03/2020 10:01
ANNA G,Unifeeder,UNEC,INBOUND,25/03/2020 04:00,25/03/2020 15:00,Grangemouth,Antwerp,27/03/2020 01:22,27/03/2020 09:25
ER YOKOHAMA,MSC,NWC,INBOUND,26/03/2020 06:00,26/03/2020 23:00,El Dekheila,Rotterdam,27/03/2020 17:30,28/03/2020 03:35
SAFMARINE BAYETE,Maersk Line,CLX,INBOUND,30/03/2020 18:00,31/03/2020 06:00,Guayaquil,Rotterdam,30/03/2020 22:48,31/03/2020 12:15
ST LOUIS EXPRESS,HAPAG LLOYD,AL3,INBOUND,31/03/2020 06:00,31/03/2020 17:00,Norfolk,Bremerhaven,31/03/2020 09:41,31/03/2020 18:56
CMA CGM FORT ST CHARLES,CMA CGM,NEFWI,INBOUND,31/03/2020 18:00,01/04/2020 06:00,Moin,London Gateway Port,31/03/2020 18:43,01/04/2020 08:00
